date,hour,sym,rule,n
2025-01-02,13,EURGBP,wide,21
2025-01-02,13,EURJPY,wide,11
2025-01-02,13,GBPUSD,wide,1
2025-01-03,15,EURJPY,wide,1
2025-01-03,15,USDJPY,wide,2
2025-01-07,15,EURGBP,wide,11
2025-01-07,15,EURJPY,wide,5
2025-01-07,15,EURUSD,wide,1
2025-01-07,15,USDJPY,wide,14
2025-01-08,13,EURGBP,wide,6
2025-01-08,13,EURJPY,wide,26
2025-01-08,13,EURUSD,wide,10
2025-01-08,13,USDJPY,wide,5
2025-01-10,13,EURGBP,wide,54
2025-01-10,13,EURJPY,wide,20
2025-01-10,13,EURUSD,jump,1
2025-01-10,13,EURUSD,wide,14
2025-01-10,13,GBPUSD,jump,1
2025-01-10,13,GBPUSD,wide,36
2025-01-10,13,USDJPY,jump,1
2025-01-10,13,USDJPY,wide,31
2025-01-10,14,EURJPY,wide,1
2025-01-10,15,EURJPY,wide,1
2025-01-14,13,EURGBP,wide,11
2025-01-14,13,EURJPY,wide,14
2025-01-14,13,EURUSD,wide,1
2025-01-14,13,GBPUSD,wide,4
2025-01-14,13,USDJPY,wide,5
2025-01-15,7,EURGBP,wide,39
2025-01-15,7,GBPUSD,wide,16
2025-01-15,13,EURGBP,wide,54
2025-01-15,13,EURJPY,wide,43
2025-01-15,13,EURUSD,wide,20
2025-01-15,13,GBPUSD,jump,1
2025-01-15,13,GBPUSD,wide,20
2025-01-15,13,USDJPY,wide,21
2025-01-16,7,EURGBP,wide,1
2025-01-16,7,GBPUSD,wide,8
2025-01-16,13,EURGBP,wide,22
2025-01-16,13,EURJPY,wide,20
2025-01-16,13,EURUSD,wide,1
2025-01-16,13,GBPUSD,wide,5
2025-01-16,13,USDJPY,wide,15
2025-01-17,7,EURGBP,wide,1
2025-01-17,7,GBPUSD,wide,1
2025-01-20,13,EURUSD,wide,1
2025-01-23,16,EURUSD,wide,1
2025-01-24,8,EURGBP,wide,22
2025-01-24,8,EURUSD,wide,4
2025-01-24,14,EURJPY,wide,2
2025-01-24,14,EURUSD,wide,5
2025-01-24,14,GBPUSD,wide,1
2025-01-24,14,USDJPY,wide,11
2025-01-30,13,EURGBP,wide,10
2025-01-30,13,EURJPY,wide,5
2025-01-30,13,EURUSD,wide,4
2025-01-30,13,GBPUSD,wide,14
2025-01-30,13,USDJPY,wide,2
2025-01-31,13,EURGBP,wide,4
2025-02-03,15,EURGBP,wide,5
2025-02-03,15,EURUSD,wide,1
2025-02-03,15,GBPUSD,wide,2
2025-02-03,15,USDJPY,wide,1
2025-02-04,15,EURUSD,wide,1
2025-02-04,15,USDJPY,wide,1
2025-02-05,13,EURGBP,wide,2
2025-02-05,13,EURJPY,wide,2
2025-02-05,13,USDJPY,wide,1
2025-02-05,15,EURGBP,wide,19
2025-02-05,15,EURJPY,wide,9
2025-02-05,15,EURUSD,wide,1
2025-02-05,15,GBPUSD,wide,1
2025-02-05,15,USDJPY,wide,17
2025-02-06,12,EURGBP,wide,5
2025-02-06,12,GBPUSD,wide,1
2025-02-06,13,EURGBP,wide,4
2025-02-07,13,EURGBP,wide,31
2025-02-07,13,EURJPY,wide,49
2025-02-07,13,EURUSD,wide,13
2025-02-07,13,GBPUSD,wide,17
2025-02-07,13,USDJPY,jump,1
2025-02-07,13,USDJPY,wide,16
2025-02-07,15,GBPUSD,wide,1
2025-02-12,13,EURGBP,wide,73
2025-02-12,13,EURJPY,wide,119
2025-02-12,13,EURUSD,jump,1
2025-02-12,13,EURUSD,wide,10
2025-02-12,13,GBPUSD,jump,1
2025-02-12,13,GBPUSD,wide,28
2025-02-12,13,USDJPY,jump,1
2025-02-12,13,USDJPY,wide,19
2025-02-13,7,EURGBP,wide,2
2025-02-13,7,GBPUSD,wide,4
2025-02-13,13,EURGBP,wide,25
2025-02-13,13,EURJPY,wide,9
2025-02-13,13,EURUSD,wide,1
2025-02-13,13,GBPUSD,wide,24
2025-02-13,13,USDJPY,wide,14
2025-02-14,13,EURGBP,wide,1
2025-02-14,13,EURJPY,wide,3
2025-02-14,13,USDJPY,wide,1
2025-02-17,16,GBPUSD,gap,1
2025-02-18,7,EURGBP,wide,9
2025-02-18,7,GBPUSD,wide,12
2025-02-19,7,EURGBP,wide,28
2025-02-19,7,GBPUSD,wide,7
2025-02-21,7,GBPUSD,wide,1
2025-02-21,8,EURGBP,wide,17
2025-02-21,8,EURJPY,wide,7
2025-02-21,8,EURUSD,wide,12
2025-02-21,9,GBPUSD,wide,1
2025-02-21,14,EURGBP,wide,14
2025-02-21,14,EURJPY,wide,4
2025-02-21,14,EURUSD,wide,2
2025-02-21,14,GBPUSD,wide,1
2025-02-21,14,USDJPY,wide,2
2025-02-27,13,EURGBP,wide,6
2025-02-27,13,EURJPY,wide,31
2025-02-27,13,EURUSD,wide,3
