half,th,l,h,n,s,s2,mean_bp
H1,0.25,0,10,398187,-387295.19739228894,460037.7272090908,-0.9726465138045415
H1,0.25,0,50,231214,-210031.94838182823,269278.66265991813,-0.9083876771381847
H1,0.25,0,300,89477,-76795.41958956237,166752.26150162515,-0.8582699418796157
H1,0.25,1,10,388054,-399798.4290680563,492571.81031784805,-1.030264934952497
H1,0.25,1,50,229230,-221743.48843180158,288641.0217826254,-0.9673406117515229
H1,0.25,1,300,89269,-82356.02408955873,174406.29510437392,-0.9225601730674561
H1,0.25,5,10,355056,-365125.23750734754,441045.19099758397,-1.028359575693264
H1,0.25,5,50,221873,-217125.96303102505,281753.3600477161,-0.9786047109428594
H1,0.25,5,300,88511,-83238.3265468068,175194.00422849527,-0.9404291731740326
H1,0.25,10,10,324670,-331800.461386409,395836.3870509557,-1.0219621812499122
H1,0.25,10,50,213840,-209959.2832275059,271707.7509287357,-0.9818522410564249
H1,0.25,10,300,87598,-82708.00895350396,172729.2181189753,-0.9441769099009562
H1,0.5,0,10,65445,-76566.77655422551,128692.47898910326,-1.1699408137248912
H1,0.5,0,50,37801,-39317.27686076867,73215.71447374164,-1.0401120832985546
H1,0.5,0,300,18498,-16454.157890712606,57086.5534642439,-0.8895101032929292
H1,0.5,1,10,63622,-82140.62018309534,146672.4645084451,-1.2910725878327518
H1,0.5,1,50,37567,-43351.878483534136,81114.64468346824,-1.1539883004640812
H1,0.5,1,300,18472,-18918.727247389375,60627.98898674179,-1.0241840216213391
H1,0.5,5,10,57821,-73332.35925725673,127747.24975558565,-1.2682651503304463
H1,0.5,5,50,36436,-42442.52293472003,78957.17668424538,-1.1648513265649365
H1,0.5,5,300,18371,-19342.424476849425,60681.27733206467,-1.052878149085484
H1,0.5,10,10,52613,-65543.34529264587,111770.81409244721,-1.2457633150104703
H1,0.5,10,50,35253,-40843.685817630096,75514.0722648963,-1.1585875192928288
H1,0.5,10,300,18251,-19203.68724946291,59925.738404212265,-1.0521991808373738
H1,0.75,0,10,36863,-43325.61369267979,76852.58688884019,-1.1753143719360821
H1,0.75,0,50,18851,-20215.034821090583,41227.03928650446,-1.0723587513177328
H1,0.75,0,300,7180,-6955.61539488426,29529.18410599411,-0.9687486622401477
H1,0.75,1,10,35778,-46629.76892339787,89191.03076841234,-1.3033084276202658
H1,0.75,1,50,18634,-22190.524588591248,46119.94549316737,-1.1908621116556428
H1,0.75,1,300,7164,-7980.708042657181,31443.525413875217,-1.1140016809962565
H1,0.75,5,10,31994,-41217.32618241732,76730.79827332789,-1.2882829962623403
H1,0.75,5,50,17934,-21621.27103577654,43597.28551641129,-1.2056022658512624
H1,0.75,5,300,7108,-8111.816984911123,32033.177199625658,-1.1412235488057292
H1,0.75,10,10,28528,-36464.30877292832,67431.28309464935,-1.2781936614178464
H1,0.75,10,50,17168,-20821.588168839833,42693.83188261372,-1.212813849536337
H1,0.75,10,300,7037,-8143.878792478244,32621.207333913335,-1.1572941299528554
H1,1.0,0,10,9727,-15033.924718271717,37013.58054602312,-1.545586996840929
H1,1.0,0,50,5176,-6937.786286700224,19385.89336949974,-1.340376021387215
H1,1.0,0,300,2504,-2667.267031128941,18445.017427820057,-1.0652024884700244
H1,1.0,1,10,9412,-17020.979571423843,44409.18235780831,-1.8084338686170678
H1,1.0,1,50,5134,-8070.050086994245,22660.27223178218,-1.571883538565299
H1,1.0,1,300,2499,-3208.493959498935,20077.934976762423,-1.2839111482588776
H1,1.0,5,10,8397,-15021.774930767673,39277.191636119074,-1.7889454484658418
H1,1.0,5,50,4982,-7972.81949339111,22731.35692339965,-1.6003250689263568
H1,1.0,5,300,2480,-3339.5364676738327,19889.58560569663,-1.346587285352352
H1,1.0,10,10,7566,-13381.541101950175,34646.109141971945,-1.76864143562651
H1,1.0,10,50,4802,-7776.192511084693,22822.4451135603,-1.6193653709047675
H1,1.0,10,300,2455,-3313.240723239522,19450.237167447656,-1.3495888893032677
H1,1.5,0,10,1953,-4240.54861552991,16011.182290052666,-2.171299854341992
H1,1.5,0,50,1041,-1930.9542563216798,8439.302443477709,-1.8549032241322574
H1,1.5,0,300,534,-631.7236837987476,9899.105914133595,-1.1830031531811753
H1,1.5,1,10,1882,-4667.954787503016,17819.583681441338,-2.4803160401184994
H1,1.5,1,50,1032,-2234.733355959564,9459.419072688077,-2.1654392984104303
