half,th,l,h,n,s,s2,mean_bp
H1,0.25,0,10,513582,-265892.72752813995,282973.6941702264,-0.5177220532030716
H1,0.25,0,50,273219,-134855.12816822398,249844.8062683212,-0.4935788805618349
H1,0.25,0,300,93383,-44411.29393052949,268134.37748173525,-0.47558221443442056
H1,0.25,1,10,498700,-293762.5941776023,304973.0839124788,-0.5890567358684626
H1,0.25,1,50,270572,-155713.96107612195,266841.28051500797,-0.5754991687097037
H1,0.25,1,300,93135,-52723.25634228281,274217.1948431044,-0.5660949840799142
H1,0.25,5,10,450124,-274630.88540569,278777.6536253275,-0.6101227337482338
H1,0.25,5,50,260577,-156376.08374634647,260581.19616432727,-0.6001146829779546
H1,0.25,5,300,92276,-54546.35417375216,273631.9910856442,-0.5911217886964342
H1,0.25,10,10,405959,-248418.85579441625,246900.7331113175,-0.611930898919389
H1,0.25,10,50,249315,-150468.43113442228,249086.26868343845,-0.6035273895851524
H1,0.25,10,300,91245,-54068.10587546562,266700.9248486537,-0.5925596566986204
H1,0.5,0,10,142842,-90743.44516181151,120433.19749686064,-0.6352714549069007
H1,0.5,0,50,73371,-41494.408167149646,101660.62866701903,-0.565542355523976
H1,0.5,0,300,29115,-13227.333903621873,132178.92028851208,-0.45431337467360033
H1,0.5,1,10,138381,-99244.42242581467,126407.40539292526,-0.7171824341912161
H1,0.5,1,50,72637,-49369.428538815475,106643.25223355372,-0.6796732868760477
H1,0.5,1,300,29069,-17984.22239852749,135054.7759356408,-0.6186735834919499
H1,0.5,5,10,123874,-90983.31466731626,112510.68356446715,-0.7344827378410018
H1,0.5,5,50,69971,-49771.07797950274,104640.29934794664,-0.7113100853139549
H1,0.5,5,300,28880,-19225.8833471418,134060.86375027086,-0.6657161823802562
H1,0.5,10,10,110682,-81197.55495604292,98466.27262999248,-0.7336112010628911
H1,0.5,10,50,67054,-47353.85941886157,97482.27929808559,-0.7062048411558083
H1,0.5,10,300,28629,-18809.334047634045,131673.31508352314,-0.6570028309628015
H1,0.75,0,10,24768,-18268.723770223838,48216.66453898978,-0.7375938214722156
H1,0.75,0,50,16188,-9270.042057830438,41391.76848166939,-0.5726490028311365
H1,0.75,0,300,8859,-3676.599833115278,62768.932077013254,-0.41501296231124035
H1,0.75,1,10,24231,-22048.768454629906,51753.789642403055,-0.9099405082179813
H1,0.75,1,50,16088,-12455.548232230798,43026.17459780378,-0.7742135897706861
H1,0.75,1,300,8848,-6005.6894450298605,64020.52749862131,-0.6787623694654001
H1,0.75,5,10,22469,-21162.35045764944,45135.40457403598,-0.9418465644955023
H1,0.75,5,50,15732,-13136.787955767933,42200.30514495053,-0.8350361019430418
H1,0.75,5,300,8800,-6493.735144184567,63444.31761135762,-0.7379244482027917
H1,0.75,10,10,20917,-19401.567817222538,38810.17419186112,-0.9275502135689888
H1,0.75,10,50,15289,-12649.605889146704,40083.87452621568,-0.8273664653768529
H1,0.75,10,300,8741,-6366.249663245186,61551.30562472767,-0.7283205197626342
H1,1.0,0,10,28410,-20422.515094507067,42557.742332354996,-0.7188495281417482
H1,1.0,0,50,14292,-9098.727032046374,30463.55905030446,-0.6366307747023772
H1,1.0,0,300,5329,-2590.4001252505473,39542.91691947686,-0.486094975652195
H1,1.0,1,10,27554,-21974.491649144064,44050.28064465135,-0.7975064110163339
H1,1.0,1,50,14164,-10555.202078600154,31274.414705327705,-0.7452133633578194
H1,1.0,1,300,5322,-3623.141313222576,39112.15426035292,-0.6807856657689921
H1,1.0,5,10,24600,-19974.966453314515,38216.428337728,-0.8119905062322974
H1,1.0,5,50,13589,-10497.50975548915,30399.71389940002,-0.7725005339236993
H1,1.0,5,300,5276,-3846.7625245378836,39524.966185561556,-0.7291058613604783
H1,1.0,10,10,21980,-17678.356217971326,34178.140908773006,-0.8042928215637546
H1,1.0,10,50,13031,-9925.425838043911,29099.69743773957,-0.7616779861901551
H1,1.0,10,300,5220,-3832.143905944268,39048.405522740606,-0.7341271850467946
H1,1.5,0,10,14911,-14140.509041277031,30086.93352405893,-0.9483273449987949
H1,1.5,0,50,7901,-6606.563053290228,19978.139137435264,-0.8361679601683619
H1,1.5,0,300,3054,-2037.0176052993963,24178.128481070682,-0.6669998707594618
H1,1.5,1,10,14462,-14888.563859586124,31456.447757178972,-1.0294954957534312
H1,1.5,1,50,7836,-7407.502842170348,20617.354212360904,-0.9453168507108662
H1,1.5,1,300,3050,-2581.5719488642676,24219.343457289222,-0.8464170324145139
H1,1.5,5,10,12984,-13483.197888789256,28242.454521403757,-1.0384471571772378
H1,1.5,5,50,7579,-7432.32185850714,20780.94359190784,-0.980646768506022
H1,1.5,5,300,3032,-2731.3498619008988,23320.652472450813,-0.9008409834765497
H1,1.5,10,10,11748,-12142.987914189294,24908.03962048594,-1.0336217155421599
H1,1.5,10,50,7282,-7155.870949395983,19914.09726744546,-0.9826793393842328
H1,1.5,10,300,3001,-2755.6367462516555,22418.628308065767,-0.9182395022498019
H2,0.25,0,10,166439,-69339.74714304265,69655.1355340508,-0.41660756879723293
H2,0.25,0,50,115759,-42976.27974498962,55840.41955284218,-0.37125648757323076
H2,0.25,0,300,58472,-20573.309375439636,67096.95939032987,-0.35184890845942735
H2,0.25,1,10,163563,-81037.21085705022,76278.82859578676,-0.495449526219562
H2,0.25,1,50,115107,-52964.64084904505,61529.03798193249,-0.4601339696894633
H2,0.25,1,300,58352,-26248.38709928974,70400.26826977807,-0.44982840518387956
H2,0.25,5,10,154267,-78380.83495236747,69882.6622646118,-0.508085559143352
H2,0.25,5,50,112610,-54082.45295961982,60360.80849927477,-0.48026332439054986
H2,0.25,5,300,57934,-27208.51319836704,70435.85454574677,-0.4696467221038948
H2,0.25,10,10,145377,-73151.48476494287,61834.57735714117,-0.5031847181118256
H2,0.25,10,50,109746,-52965.905946461666,58544.2348011397,-0.48262265546317556
H2,0.25,10,300,57453,-27187.14526283445,70704.13868156739,-0.47320671266660486
H2,0.5,0,10,92423,-45319.02702057074,44088.72285602766,-0.4903436051693923
H2,0.5,0,50,48823,-22474.421745829066,31946.742389018156,-0.46032447301126656
H2,0.5,0,300,17735,-7083.138808925959,28210.92253194398,-0.39938758437699234
H2,0.5,1,10,89741,-47007.94889408952,45694.188495686,-0.5238179749957045
H2,0.5,1,50,48341,-24421.34697898264,32860.43176018196,-0.5051891143952885
H2,0.5,1,300,17692,-8588.481422630826,28929.315266640904,-0.4854443490069425
H2,0.5,5,10,81115,-42808.81709184147,40087.789932048356,-0.5277546334443872
H2,0.5,5,50,46546,-23997.620480227284,30636.55882531356,-0.5155678356943085
H2,0.5,5,300,17548,-8886.650248680813,28752.539589893764,-0.5064195491612044
H2,0.5,10,10,73127,-38346.278277865895,34985.134081553464,-0.5243792071036129
H2,0.5,10,50,44504,-22907.618532370492,29446.92630989457,-0.5147316765317835
H2,0.5,10,300,17383,-8800.790591446084,28091.28653376768,-0.5062872111514747
H2,0.75,0,10,56239,-26068.718966993212,27042.994683471366,-0.4635345395009373
H2,0.75,0,50,31366,-13437.761006511373,19517.332780734323,-0.4284180643534838
H2,0.75,0,300,11310,-4463.296393699725,18593.818177647718,-0.39463274922190317
H2,0.75,1,10,54780,-28217.11766081102,28655.16079190803,-0.5150988985179084
H2,0.75,1,50,31044,-15290.702420753074,20986.26029839749,-0.4925493628640985
H2,0.75,1,300,11282,-5413.303216298202,19069.31462906764,-0.47981769334321944
H2,0.75,5,10,49963,-26108.014716371727,25064.661027510585,-0.5225469790919626
H2,0.75,5,50,29911,-15143.08195407883,19930.91955471066,-0.5062713367683739
H2,0.75,5,300,11190,-5625.048732559906,19419.881620033626,-0.5026853201572749
H2,0.75,10,10,45503,-23780.135895028776,21794.96483692851,-0.5226058918099636
H2,0.75,10,50,28676,-14642.361933072252,19056.230407998515,-0.5106138210724038
H2,0.75,10,300,11055,-5632.381099427197,19309.128110010108,-0.509487209355694
H2,1.0,0,10,3364,-2459.60688268287,9887.396847984863,-0.7311554348046582
H2,1.0,0,50,2489,-1154.2217640228635,6715.155200597206,-0.463729113709467
H2,1.0,0,300,1723,-497.8737247839705,7751.699156731656,-0.2889574723064251
H2,1.0,1,10,3314,-3225.617323283747,10258.05565553565,-0.9733305139661276
H2,1.0,1,50,2481,-1814.8380986150778,7373.1973698612455,-0.7314945983938241
H2,1.0,1,300,1722,-961.2412404037844,7482.1027390465,-0.5582121024412221
H2,1.0,5,10,3137,-3054.5620940000445,8786.980422064455,-0.9737207822760741
H2,1.0,5,50,2442,-1935.407176339662,7107.666476280193,-0.7925500312611229
H2,1.0,5,300,1715,-1068.0754529858152,7602.215495487318,-0.6227845206914374
H2,1.0,10,10,2948,-2736.90123871269,6991.41323692205,-0.9283925504452816
H2,1.0,10,50,2396,-1905.0773936643711,6732.007254199582,-0.7951074264041615
H2,1.0,10,300,1706,-1048.8893038155884,7465.712211086671,-0.6148237419786567
H2,1.5,0,10,437,-699.3226015035624,5104.00790612971,-1.6002805526397308
H2,1.5,0,50,298,-288.57909769219106,3257.6015827376195,-0.968386233866413
H2,1.5,0,300,212,-118.4638887740757,3826.409351422961,-0.5587919281796023
H2,1.5,1,10,431,-887.5764948461455,5099.064357755005,-2.059342215420291
H2,1.5,1,50,295,-442.0562514677286,3749.044799728032,-1.4984957676872155
H2,1.5,1,300,212,-225.01206112221692,3643.843037016209,-1.06137764680291
H2,1.5,5,10,386,-718.7168699711586,3735.9808851737093,-1.8619608030340897
H2,1.5,5,50,292,-458.9493282375591,3694.706938782018,-1.5717442747861612
H2,1.5,5,300,212,-246.07292247804244,3587.778385088866,-1.1607213324435963
H2,1.5,10,10,367,-598.0091847734328,2860.9814303722264,-1.6294528195461384
H2,1.5,10,50,283,-438.75907774016724,3139.9786866319073,-1.5503854337108383
H2,1.5,10,300,210,-230.53951694588173,3075.2384764183075,-1.0978072235518177
